STATECODE,NAME,FIPS
AL,ALABAMA,1
AK,ALASKA,2
AZ,ARIZONA,4
AR,ARKANSAS,5
CA,CALIFORNIA,6
CO,COLORADO,8
CT,CONNECTICUT,9
DE,DELAWARE,10
DC,DISTRICT OF COLUMBIA,11
FL,FLORIDA,12
GA,GEORGIA,13
HI,HAWAII,15
ID,IDAHO,16
IL,ILLINOIS,17
IN,INDIANA,18
IA,IOWA,19
KS,KANSAS,20
KY,KENTUCKY,21
LA,LOUISIANA,22
ME,MAINE,23
MD,MARYLAND,24
MA,MASSACHUSETTS,25
MI,MICHIGAN,26
MN,MINNESOTA,27
MS,MISSISSIPPI,28
MO,MISSOURI,29
MT,MONTANA,30
NE,NEBRASKA,31
NV,NEVADA,32
NH,NEW HAMPSHIRE,33
NJ,NEW JERSEY,34
NM,NEW MEXICO,35
NY,NEW YORK,36
NC,NORTH CAROLINA,37
ND,NORTH DAKOTA,38
OH,OHIO,39
OK,OKLAHOMA,40
OR,OREGON,41
PA,PENNSYLVANIA,42
RI,RHODE ISLAND,44
SC,SOUTH CAROLINA,45
SD,SOUTH DAKOTA,46
TN,TENNESSEE,47
TX,TEXAS,48
UT,UTAH,49
VT,VERMONT,50
VA,VIRGINIA,51
WA,WASHINGTON,53
WV,WEST VIRGINIA,54
WI,WISCONSIN,55
WY,WYOMING,56
BI,BUREAU OF INDIAN EDUCATION,59
AS,AMERICAN SAMOA,60
GU,GUAM,66
PR,PUERTO RICO,72
VI,U.S. VIRGIN ISLANDS,78
